data,comandante,sent1,sent2,sent3
2024-10-01,1,11,20,36
2024-10-02,10,28,37,29
2024-10-03,2,12,21,38
2024-10-03,2,12,21,38
2024-10-03,2,12,21,38
2024-10-06,10,28,36,20
2024-10-07,3,13,22,30
2024-10-08,4,39,23,14
2024-10-09,5,31,32,40
2024-10-10,6,15,24,16
2024-10-11,7,25,33,26
2024-10-12,1,11,12,21
2024-10-13,2,37,29,38
2024-10-14,8,17,34,18
2024-10-15,9,35,27,19
2024-10-16,1,11,20,36
2024-10-17,10,37,28,29
2024-10-18,2,12,38,21
2024-10-19,3,30,22,13
2024-10-20,4,39,14,23
2024-10-21,3,30,22,13
2024-10-22,4,23,14,39
2024-10-23,5,31,32,40
2024-10-24,6,16,15,24
2024-10-25,7,25,26,33
2024-10-26,5,31,15,24
2024-10-27,6,32,40,33
2024-10-28,8,17,34,18
2024-10-29,9,27,35,19
2024-10-30,1,36,20,11
2024-10-31,10,28,37,29
2024-11-01,2,38,12,21
2024-11-02,7,16,25,26
2024-11-03,8,34,17,35
2024-11-04,3,22,30,13
2024-11-05,4,39,14,23
2024-11-06,5,40,32,31
2024-11-07,6,16,15,24
2024-11-08,7,25,33,26
2024-11-09,9,18,27,19
2024-11-10,10,28,36,20
2024-11-11,8,18,17,34
2024-11-12,9,27,19,35
2024-11-13,1,20,11,36
2024-11-14,10,28,37,29
2024-11-15,2,21,38,12
2024-11-16,1,11,37,29
2024-11-17,2,12,21,38
2024-11-18,3,30,13,22
2024-11-19,4,14,39,23
2024-11-20,5,31,40,32
2024-11-21,6,16,24,15
2024-11-22,7,25,33,26
2024-11-23,3,13,22,30
2024-11-24,4,39,23,14
2024-11-25,8,18,17,34
2024-11-26,9,27,19,35
2024-11-27,1,20,36,11
2024-11-28,10,28,29,37
2024-11-29,2,38,21,12
